shop_name,product_name,shelf_price,image_url
Lidl,"Aitriųjų paprikų skonio šviežias ožkų sūris su česnakais",3.19,https://imgproxy-retcat.assets.schwarz/4QkKu1c_RIkfPOvX3TOe93sI4ZDX_ZEBnX7BRqKpfGA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0QwOTIxODczMjMxNDZEM0JBMDUxN0UzRj/k4RkRDMDk5NzMwQzgzNjM5MTQwNTk5ODdBMDk2MjBDODE4QzIyMzUucG5n.png
Lidl,"Sūris „Gorgonzola“ su maskarpone ir riešutais",3.19,https://imgproxy-retcat.assets.schwarz/lf9djgxOxo5jjzUjkK7LtOrOjK1An_wzlpl3VEg9MB4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50Lzk4NUYwN0RGNzI1NTdBNDJGQzFFQzRGRD/ZCNEQ5MEZBQ0MzRjFGQURBMEZCNTY1QzBFNTVGMjFEODUyNjA3QzUucG5n.png
Lidl,"Paštetas",3.39,https://imgproxy-retcat.assets.schwarz/S6NuMhuWagnf5hkp4tV4DLBRgFPkJ6tbSP8YVreSIQU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzM2MjZDRTg5M0M3NERDRjUyNzhCNTA3Qz/VCMTZBNzM1NUZBNjc2RjFDRTQ3NkE2NDE5MTFDMDNCOTY1OERFODgucG5n.png
Lidl,"Konservuoti grybai",2.49,https://imgproxy-retcat.assets.schwarz/UW7FYI8JhdKJmF4rkjuIl6mJgZ02E2UFx9bWMllkFgA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzZGRjQ2MzhGQkUzNDQ1MDAxMjk4NTIyNT/FCRjJCRkY0RTc2NUI3QjhFNTIxMjQ1NjM3OTdEOUYwNTlCMkYxQzEucG5n.png
Lidl,"Kiaušininiai makaronai",2.49,https://imgproxy-retcat.assets.schwarz/8fU2lfkl6cPD_QfaIF8i1YJkAeSN7990wo4jvDoWIgA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzYxNTJBRDM4QTJGMjI4OTY3MDdDMUYzME/FCNkI0RjU4NUYxNzE1ODZFQkZFMTMxRkZFMkQxQTBDOTdDOTkxMzAucG5n.png
Lidl,"Ekologiška arbata",4.49,https://imgproxy-retcat.assets.schwarz/Lx2go179g6djJm1W8l952JAYrShLF-1fQOK75jOkp5w/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0ZENDhGRjgwRjY1RTEwODJCRjdEMDcyRj/dCNTVDOUFEN0Y5MkI0MjYxQzJFOEVBQkU2RTNGMzk2NTBDM0Q3RkUucG5n.png
Lidl,"Itališkas desertas",1.99,https://imgproxy-retcat.assets.schwarz/m1lQX50J8q6434vnl67zz4L6xDE1bfduYT8BP98arqw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50Lzg1QzczMTQ1RDhERjNBRUUyRkE4NzdBQ0/MzRTExQjA3QzRENkU1ODE3M0VDM0VDMUY2NTRERDAzREEwNEU4ODAucG5n.png
Lidl,"Migdolinių sausainių rinkinys",3.99,https://imgproxy-retcat.assets.schwarz/NRkNZfe9cN4TqxRdLXjvXwXXRkqdJaEo8qVSOCOC7qM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9CQjE2OTYwMjc1M0YzOUJFNDA0QjcwRDQ/5OTZDMDgyMTMyQzEzNzAyQjlGNUI3QjBGMDNFODMyM0ZDN0U3QUE2LnBuZw.png
Lidl,"Ledai",4.69,https://imgproxy-retcat.assets.schwarz/lQsdT6s65mSiMlzEPmzBSVJgpHdIeV37rvF1YqSYRY4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzQ2QkIwQjJCMURBOEY3OTI4QTg5QjkwMk/Q4NTEwRkE3RDA5NjM3RkY2OTI1NkQ2REI3RjM5QTQ4QjdCRTM4QjAucG5n.png
Lidl,"Tiramisu desertas",1.79,https://imgproxy-retcat.assets.schwarz/mYhX_et7mn52IJOWNkUgOTwhK3BjqNgICkHFDzmteS0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzZCQ0UyNUNENjMwODExODc2MjlGRDJDMj/dGQTM1QzZBMEZCODA2OTFBREUyOTE5RTg0M0E1QjYxRDBGRDU4Q0UucG5n.png
Lidl,"Desertas su maskarponės ir sūdytos karamelės sluoksniu",1.59,https://imgproxy-retcat.assets.schwarz/zgA5tfcYNYeGdUmoOaSW77nK4hVgdqU29VMgJ67U8es/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0QwRTc3RjJCQzlCQzI0OTY5M0YzNDI0Qk/U1NDFEOEQ1Q0ZCMUEyQ0M2OEI4MjczOUZEOTA4QTQ0MkZCQjRDMUEucG5n.png
Lidl,"Desertas",1.89,https://imgproxy-retcat.assets.schwarz/cJSwiHbHUq0Ae3_MmC_6iDFYXttrptERZV9yBYQvb7A/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0IzNEQ4M0M1RkZENDA4MThCMEU3MTJEQj/dDNUM2QzY3OUIwNjdFRkExRjY2OEZCMjZBQkI3N0EzMDI2RUYwNEUucG5n.png
Lidl,"Pyragas Panettone su šokolado įdaru",12.99,https://imgproxy-retcat.assets.schwarz/ZBzRvgR1WFfbh2vz-_R9vLj2EYRYdanpqsJGucWntD4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzBERkUxMTc1NDJDNDNDRDYyODYxRTg4Mz/Q3NEE5MUQzQkE2NkVCRTE2NDk2ODJCOUU3RkUxMUZEMDFDMzU1RjQucG5n.png
Lidl,"Desertas stikliniame indelyje",2.49,https://imgproxy-retcat.assets.schwarz/LB_hQ1bbaHKJ3C6xsRRIquIG7yGOGheC_25HmAD50Ig/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9CNDk1MDA2MkYzN0RBQzQ0REM2RDcwQjI/5RTEzRjhFRkRFNUZBNzUwNTI0RUVEQjUxOTYzM0JFRjFFMTg3Q0VELnBuZw.png
Lidl,"Makaronai",0.99,https://imgproxy-retcat.assets.schwarz/vLfBKo1gqBqqHB26xOAxODcCmw7uFvtKNBB5KoO9jsA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8zOUQ2M0YwNTk5RkY4RTAzOUFDNkZGNzk/4QkVENUQzQzAyQUE0NTYxRjUxN0Y2Q0VBRkY4Q0Q2OTU0RUI1MUU4LnBuZw.png
Lidl,"Džiovinti cukruoti imbierai",1.95,https://imgproxy-retcat.assets.schwarz/Cmw1mgvNBIOkrBfWyOo4_koO2n4kKfHDRrguttjT4c0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9FQjJBMDQ4NDYxM0NGMjEwMjc5N0Y3RDh/CMzg4RTVFQzZEMTZCMEZDQjhDNjRBMTZFNjM2MzBFQ0EyMzI2RjFGLnBuZw.png
Lidl,"Sūdyti ir kepinti moliūgų branduoliai",1.69,https://imgproxy-retcat.assets.schwarz/hqZuE7hjuxnbwV4FA6WMpit73AfUqHLnfrvdtUezYiU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0QxRkY4Rjc2NDgyMEM3MkU3QUREMEZDNE/U2MDJBRDg1RTRGMUY5NTY1OTFEOEVGMEMxQUQ0QzA1OTkyNEY5NEUucG5n.png
Lidl,"Riešutų mišinys XXL",4.49,https://imgproxy-retcat.assets.schwarz/cGkgudL1ftLeFliubPa8VwzuJhSt12cmcuDc8uLxFfc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzM2NjFGQjJBMzU4N0I2MDRERTc1RDA5Mj/VGRjlDQTg5RTlCNDY3MDA4N0UwRDhEMTQ2NzcxQUZGQ0E1MEJGQjYucG5n.png
Lidl,"Dribsniai „Protein“",3.59,https://imgproxy-retcat.assets.schwarz/FaE1iteKHTPrrLXD_9oJrjKjAgW5jZCAPF-8Pc2_Vcw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0FDRkU2RTAzNUJBMERBMjJCQ0U3MDZCRD/VGNzYyRDczQjc3RDE5RTY4MDk2RUE0ODI2MjZFNEZENEUzMjJFOTYucG5n.png
Lidl,"Arbata",1.99,https://imgproxy-retcat.assets.schwarz/ueHNNYZHTfTfzMjcctNM--gC2nF76OwQGOEafOtIXqA/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0NEMjA0REQ5QUI1NTkzRkQzRTE5QUYyRT/BFQTNCN0Y3RURDNzZBODgwNjYxMEZCMTU5MDcyOTExNjMxNzBFRTkucG5n.png
Lidl,"Vaisinė arbata",1.89,https://imgproxy-retcat.assets.schwarz/pqWWZg9FLlXU--ljU1XXzauBUBi9P_mC8TEwU_KDwF0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9BQjBGRTM5QzhGRUUwMDE3RTkyRDdGRDE/0MzNDODU4OTJCOUNEQUY5RUVENjc1NjgxNDJBMEUzNEI4Njc0QjU5LnBuZw.png
Lidl,"Kvietiniai miltai 405 C",0.50,https://imgproxy-retcat.assets.schwarz/XbbzvCgNq1XahMhcZzaTTwE7VqWQ2zeBMtJZIQgw5Rc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzVCOTZBRjEzM0Y5OThEQzVGODdFRkExMD/BCMDNEOUUyRTc0OTQ4QjhGQkRBN0ZGOTYwQzE2RkZCN0Y0RkE4RTQucG5n.png
Lidl,"Amerikietiško stiliaus pica",3.49,https://imgproxy-retcat.assets.schwarz/GXUqQYm6jqrHxTZ9pNwO5mojf-AnlVwKvM4tH3U6zUs/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9DRkNGRUVDNDFEMTk5QzM3QzE0RUQwMDR/BNjFFODQ3MEZDN0Q4RERDNEFGRTJBNTY1NzIxNDc0OTgxOEYzMEE5LnBuZw.png
Lidl,"Greitai paruošiami makaronai",0.35,https://imgproxy-retcat.assets.schwarz/LOF5TbiHL8_A0C_VFoLTudfjHiRyiYO4uhczbfDxG0g/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS85QzQxMzk4QTJCNDQ5RUI3ODY5NDMzMkR/BNDY5MTJFNjM1MzRGNEJDQ0I5OTcxM0RCODM4QkYxODk2OUFEOTlDLnBuZw.png
Lidl,"Žalios alyvuogės su daržovėmis arba vaisiais",1.89,https://imgproxy-retcat.assets.schwarz/Bt4eLRUv3Hy4dqlKJFbzBQxhsKmnbDktVATbunLEVs0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0IxMEY2RTkyNzJDRjc2ODkzRjQzQzg5OD/NBNDM4ODc4QTM1NzI4RUE3NEQ4RkRBRDBFQTA0NTYzNjhFNUZGRDAucG5n.png
Lidl,"Burokėliai obuolių sultyse",0.99,https://imgproxy-retcat.assets.schwarz/5eGt9QnoxUGCRERxNHUMkWaF4XEtqRxfgJiflt5-s6c/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzkzNUY0RTAyRDI3Q0JFRUFGNDU0MTcwNT/ZDMEZGNkM3OEJCQTZDMzcwMzM3MDcxNDdEMzI2MUQ1NDQ4NTIxOTEucG5n.png
Lidl,"Baltasis arba Rausvasis majonezinis padažas",1.29,https://imgproxy-retcat.assets.schwarz/sBFN7hvFvxC0zkTvZPwHL1kiOUCA7p9wyuPF0IZt2fY/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzRGRUU5QkMyOTYzODg4NEE3RjFEODc2MU/U5NkU3NTc3MUJBNUNBRjgwM0MyNjcyOEQyQkEzNDc1Nzc2RkExQjEucG5n.png
Lidl,"Drėgnos servetėlės „Sensitive“",1.59,https://imgproxy-retcat.assets.schwarz/jH6Lv4bkEeXdwqCu1lpIBUliyxn1gccA0BFFH1igIyE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS83OTFGNDM4MDU0N0Y4MDU0QUE0QUZBOTY/yRTdEQjRBMzRDNDA5NkIyMjNENzUyQTRBMjc2RjFGREZBM0Y0QjVFLnBuZw.png
